"Designator","Mid X (mm)","Mid Y (mm)","Layer","Rotation"
"C1","-11.112","-0.635","Top","90.0"
"C2","10.16","0","Top","90.0"
"C3","-8.572","-7.938","Top","90.0"
"D1","-9.049","-1.905","Top","90.0"
"D2","3.81","-5.397","Top","270.0"
"D3","-11.112","-7.303","Top","270.0"
"R1","3.81","-7.938","Top","180.0"
"R2","3.81","-2.222","Top","270.0"
"R3","8.89","0","Top","270.0"
"R4","-8.572","-5.398","Top","90.0"
"R6","-11.112","-4.128","Top","180.0"
"S1","11.747","-7.62","Top","270.0"
"U1","-2.53","-5.195","Top","269.99"
"U2","0","1.27","Top","0.0"
"U3","7.62","-5.08","Top","180.0"
