"Comment","Designator","Footprint","Part Number (LCSC)"
"47uF","C1","CAPC320X160X180L50N","C96123"
"10nF","C2","CAPC100X50X55L25N","C15195"
"220nF","C3","CAPC100X50X55L25N","C16772"
"1N5819","D1, D2","SOD260X130X100L37X30N","C191023"
"","D3","LED",""
"150O","R1","RESC100X50X40L25N","C25082"
"100kO","R2, R3","RESC100X50X40L25N","C25741"
"1MO","R4","RESC100X50X40L25N","C26083"
"4.7kO","R6","RESC100X50X40L25N","C25900"
"SPST","S1","SPST.PADS",""
"FTR-B4CA or B3CA","U1","FTR-B4_DUAL",""
"","U2","IO.STRIP_RELAY",""
"","U3","SOIC8P127_490X600X175L83X41N","C7593"
